id,name,authors,category,created_at,description,edited_at,filename,language,length
8e283f4e-4e70-4ef8-b863-78c9cab9dd1e,SEO fundamentals,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Marketing,2024-07-31T17:01:49Z,Critique of SEO,2025-01-03T21:50:56Z,marketing-seo.mp4,EN,60
cb6543a2-b45a-4710-9c2d-8dfb405b2870,Market research,"{'Michelle Gates', 'Heidi Thomas', 'Norman Scott'}",Marketing,2024-10-16T10:46:38Z,Overview of market research,2024-07-15T03:39:15Z,marketing-market-research,EN,90
066acc5c-6b83-4412-85b0-90863c48a2ab,Message brokers with Apache Kafka,"{'Rachel Carlson', 'James Evans'}",IT,2024-08-29T08:51:04Z,Introduction to Apache Kafka,2024-07-19T12:05:43Z,it-kafka.mp4,EN,90
4a4b4439-2109-4c37-ab22-bddd0d3373e2,Investment funds,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Finance,2024-08-29T08:51:04Z,Rational behind investment funds of various types,2024-07-19T12:05:43Z,finance-funds.mp4,EN,120
d12f4bb9-281b-48b6-85cb-5c36947eece9,LBOs,"{'Michelle Gates', 'Heidi Thomas', 'Norman Scott'}",Finance,2024-08-29T08:51:04Z,Prelude to LBOs,2024-07-19T12:05:43Z,finance-lbos.mp4,EN,90
59964756-6cab-431d-ab18-bb58d3de9aee,IaC von Terraform,"{'Rachel Carlson', 'James Evans'}",IT,2025-01-26T10:50:59Z,Terraform-Theorie zusätzlich zu den Hebelmustern,2024-06-09T05:36:54Z,it-terraform.mp4,DE,120
14d38a11-1900-4eb8-9fc4-f2f9ada5a024,CI/CD mit GitLab,"{'Lauren Green', 'David Walters'}",IT,2024-05-19T11:47:06Z,Übersicht nebst Abbildungen zum Aufbau der Pipeline,2025-02-22T17:15:23Z,it-gitlab.mp4,DE,90
441d68da-b22f-49ef-89ca-35f1dedff690,Vermarktung von Inhalten,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Marketing,2024-09-15T15:08:56Z,Erste Schritte bei der Erstellung von Inhalten für das Marketing,2024-10-12T19:01:59Z,marketing-content.mp4,DE,60
d5f63b8b-15a6-40d8-91ca-7f577428ca65,Private equity,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Finance,2025-01-22T21:34:05Z,Overview of private equity,2024-09-28T17:10:32Z,finance-private-equity.mp4,EN,120
627cf0f5-901a-4aec-abc6-64ae7f646b51,Brand storytelling,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Marketing,2024-07-15T16:28:48Z,Overview of brand storytelling,2024-10-29T05:45:18Z,marketing-brand-storytelling.mp4,EN,90
09fc9de3-0de9-4033-a675-4a30be442674,Accounting,"{'Seth Wilson', 'Jocelyn Johnston'}",Finance,2024-11-10T06:29:14Z,Survey of accounting,2025-04-01T13:05:39Z,finance-accounting.mp4,EN,90
c054a7b1-7931-4a32-8a99-3bee7cf2cc9c,Fintech,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Finance,2025-01-10T02:48:40Z,Essentials of Fintech,2024-10-25T21:01:10Z,finance-fintech.mp4,EN,90
b9f010d7-a496-4baa-b47d-2059bbbf1e8e,Containerization through Docker,"{'Lauren Green', 'David Walters'}",IT,2024-08-29T08:51:04Z,Rationale behind Docker,2024-08-29T08:51:04Z,it-docker.mp4,EN,90
23a4cc9d-ed35-49d0-ad85-cc36bdc32331,SQL databases with PostgreSQL,"{'Rachel Carlson', 'James Evans'}",IT,2025-02-24T02:02:44Z,PostgreSQL illustrations,2024-11-01T01:00:47Z,it-postgresql.mp4,EN,120
8539bb2d-6da3-4a1a-965a-acd41aaed325,Corporate finance outline,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Finance,2024-09-18T07:25:42Z,Prologue to corporate finance,2024-11-22T21:45:53Z,finance-outline.mp4,EN,60
1fc79601-aa0d-4f9e-bd1d-12bcd96c8fe8,Cybersecurity,"{'Lauren Green', 'David Walters'}",IT,2024-08-29T08:51:04Z,Fundamentals of Cybersecurity,2024-08-29T08:51:04Z,it-cybersecurity.mp4,EN,60
cfafc82b-73ee-497f-a41a-f6d49a77fb3d,Monitoring through Prometheus,"{'Lauren Green', 'David Walters'}",IT,2024-09-13T10:34:45Z,Preface of monitoring notion with Prometheus illustrations,2024-12-16T13:23:27Z,it-prometheus.mp4,EN,60
a7495efb-cca8-43a8-8e0f-0e38c0d1fb85,Logging with ELK,"{'Rachel Carlson', 'James Evans'}",IT,2024-09-25T17:57:18Z,Essentials of logging,2025-01-14T09:16:59Z,it-logging.mp4,EN,90
d2b691ab-9fd4-400b-a65d-bf4680e90f71,Venture capital,"{'Seth Wilson', 'Jocelyn Johnston'}",Finance,2024-08-25T20:49:42Z,Illustrations of venture capital,2024-08-16T13:08:25Z,finance-venture-capital.mp4,EN,120
4683038f-2f67-4ff6-beea-613378a8adea,NoSQL databases with Apache Cassandra,"{'Lauren Green', 'David Walters'}",IT,2025-03-29T09:37:48Z,Apache Cassandra primer,2024-12-16T15:38:47Z,it-cassandra.mp4,EN,120
